entry_mode,tp1_pct,tp1_ratio,trail_pct,hard_stop_pct,use_stage3_peak,train_sharpe,train_win_rate,train_mdd,train_cagr,train_n,val_sharpe,val_win_rate,val_mdd,val_cagr,val_n,overfit_gap
stage,0.1,0.3,0.08,0.06,True,2.523212162593673,0.43451776649746193,-0.9233840126903455,0.13403049965785363,985,2.8754579370848092,0.4363817097415507,-0.9729804450844063,0.17185684609360696,1006,-0.35224577449113603
stage,0.1,0.3,0.08,0.06,False,2.523212162593673,0.43451776649746193,-0.9233840126903455,0.13403049965785363,985,2.8754579370848092,0.4363817097415507,-0.9729804450844063,0.17185684609360696,1006,-0.35224577449113603
stage,0.1,0.3,0.08,0.08,True,2.5379207673197324,0.4934010152284264,-0.9744231790670823,0.13598905550945384,985,3.137006649351439,0.4970178926441352,-0.988879440545792,0.20427385654902075,1006,-0.5990858820317064
stage,0.1,0.3,0.08,0.08,False,2.5379207673197324,0.4934010152284264,-0.9744231790670823,0.13598905550945384,985,3.137006649351439,0.4970178926441352,-0.988879440545792,0.20427385654902075,1006,-0.5990858820317064
stage,0.1,0.3,0.08,0.1,True,2.9620835605322995,0.550253807106599,-0.9707923351425438,0.18016696443940217,985,3.468797131331546,0.5506958250497018,-0.9818808323339492,0.24548327463323738,1006,-0.5067135707992465
stage,0.1,0.3,0.08,0.1,False,2.9620835605322995,0.550253807106599,-0.9707923351425438,0.18016696443940217,985,3.468797131331546,0.5506958250497018,-0.9818808323339492,0.24548327463323738,1006,-0.5067135707992465
stage,0.1,0.3,0.1,0.06,True,2.673834327096806,0.43451776649746193,-0.9401081536891536,0.15313269680792896,985,3.0683976873543055,0.43439363817097415,-0.9657676054128655,0.19622471097616678,1006,-0.3945633602574996
stage,0.1,0.3,0.1,0.06,False,2.673834327096806,0.43451776649746193,-0.9401081536891536,0.15313269680792896,985,3.0683976873543055,0.43439363817097415,-0.9657676054128655,0.19622471097616678,1006,-0.3945633602574996
stage,0.1,0.3,0.1,0.08,True,2.7216440802337805,0.4934010152284264,-0.9814750918138858,0.15948612218707714,985,3.3726523074832793,0.49403578528827036,-0.980853230619376,0.23704208235431223,1006,-0.6510082272494988
stage,0.1,0.3,0.1,0.08,False,2.7216440802337805,0.4934010152284264,-0.9814750918138858,0.15948612218707714,985,3.3726523074832793,0.49403578528827036,-0.980853230619376,0.23704208235431223,1006,-0.6510082272494988
stage,0.1,0.3,0.1,0.1,True,3.104180272670106,0.5492385786802031,-0.9761582417022133,0.20532672262027107,985,3.683884806636481,0.5467196819085487,-0.9758746988390691,0.2788640809863836,1006,-0.5797045339663751
stage,0.1,0.3,0.1,0.1,False,3.104180272670106,0.5492385786802031,-0.9761582417022133,0.20532672262027107,985,3.683884806636481,0.5467196819085487,-0.9758746988390691,0.2788640809863836,1006,-0.5797045339663751
stage,0.1,0.3,0.12,0.06,True,2.463045175553589,0.433502538071066,-0.977589698600186,0.13865176360326736,985,2.8061377690786364,0.4234592445328032,-0.9688103820788831,0.19433317880952372,1006,-0.3430925935250473
stage,0.1,0.3,0.12,0.06,False,2.463045175553589,0.433502538071066,-0.977589698600186,0.13865176360326736,985,2.8061377690786364,0.4234592445328032,-0.9688103820788831,0.19433317880952372,1006,-0.3430925935250473
stage,0.1,0.3,0.12,0.08,True,2.588411107248597,0.49238578680203043,-0.9910372367930975,0.15195421074208282,985,3.0816269514922863,0.4831013916500994,-0.9809785857977483,0.23033644962735478,1006,-0.49321584424368936
stage,0.1,0.3,0.12,0.08,False,2.588411107248597,0.49238578680203043,-0.9910372367930975,0.15195421074208282,985,3.0816269514922863,0.4831013916500994,-0.9809785857977483,0.23033644962735478,1006,-0.49321584424368936
stage,0.1,0.3,0.12,0.1,True,2.9562414645852355,0.5482233502538071,-0.9893497879000643,0.19590759416022885,985,3.370360381826299,0.5347912524850894,-0.9790996874316175,0.26935124498841634,1006,-0.4141189172410633
