entry_mode,tp1_pct,tp1_ratio,trail_pct,hard_stop_pct,use_stage3_peak,train_sharpe,train_win_rate,train_mdd,train_cagr,train_n,val_sharpe,val_win_rate,val_mdd,val_cagr,val_n,overfit_gap
stage,0.1,0.3,0.08,0.06,True,2.3934195141284684,0.42193087008343266,-0.9109744384527608,0.12138782047305052,839,4.172657994754726,0.48859934853420195,-0.7917439916029425,0.3466973286094075,1228,-1.7792384806262573
stage,0.1,0.3,0.08,0.06,False,2.3934195141284684,0.42193087008343266,-0.9109744384527608,0.12138782047305052,839,4.172657994754726,0.48859934853420195,-0.7917439916029425,0.3466973286094075,1228,-1.7792384806262573
stage,0.1,0.3,0.08,0.08,True,2.4872140785322068,0.47079856972586415,-0.9467554545026032,0.1314519671943295,839,4.5557387342608555,0.5419722901385493,-0.7815343444139368,0.41164931992917775,1227,-2.0685246557286487
stage,0.1,0.3,0.08,0.08,False,2.4872140785322068,0.47079856972586415,-0.9467554545026032,0.1314519671943295,839,4.5557387342608555,0.5419722901385493,-0.7815343444139368,0.41164931992917775,1227,-2.0685246557286487
stage,0.1,0.3,0.08,0.1,True,2.4014484694330887,0.5077473182359953,-0.9773343040110624,0.12112247632561468,839,4.49789142240406,0.5762021189894051,-0.9193840738447681,0.40875698335003063,1227,-2.0964429529709716
stage,0.1,0.3,0.08,0.1,False,2.4014484694330887,0.5077473182359953,-0.9773343040110624,0.12112247632561468,839,4.49789142240406,0.5762021189894051,-0.9193840738447681,0.40875698335003063,1227,-2.0964429529709716
stage,0.1,0.3,0.1,0.06,True,2.5434194801776435,0.4195470798569726,-0.9287743015968088,0.1443707736470694,839,4.1944814584003325,0.48859934853420195,-0.8229931347166862,0.3641180285675296,1228,-1.651061978222689
stage,0.1,0.3,0.1,0.06,False,2.5434194801776435,0.4195470798569726,-0.9287743015968088,0.1443707736470694,839,4.1944814584003325,0.48859934853420195,-0.8229931347166862,0.3641180285675296,1228,-1.651061978222689
stage,0.1,0.3,0.1,0.08,True,2.5852340353098024,0.4684147794994041,-0.9260445293049465,0.1490572777962147,839,4.588910581644282,0.541157294213529,-0.8729124666342923,0.434412741016875,1227,-2.00367654633448
stage,0.1,0.3,0.1,0.08,False,2.5852340353098024,0.4684147794994041,-0.9260445293049465,0.1490572777962147,839,4.588910581644282,0.541157294213529,-0.8729124666342923,0.434412741016875,1227,-2.00367654633448
