date,1d,5d,20d
2026-01-02,-0.09048168331879834,-0.22620420829699586,0.0
2026-01-05,-0.3115753609809222,-0.14923148551992066,-0.02560038036115794
2026-01-06,0.2869130366464973,-0.057287916558129,0.0809606093507443
2026-01-07,0.011114533221159684,0.08315468788624983,0.022064784366600598
2026-01-08,-0.030322671412356197,-0.01405795008874735,0.035471804293699706
2026-01-09,-0.1830757098022133,0.031661475666576566,0.023841934460787684
2026-01-12,-0.0525734463961738,0.058249032836673445,0.24676124288558005
2026-01-13,0.3913428496496704,0.08017784795466429,0.2667138902219459
2026-01-14,0.20388299979167832,0.030951066364883838,0.17604610642860005
2026-01-15,0.11916209220094781,0.00026074856061476543,0.18643522083955727
2026-01-16,-0.005252692037926172,-0.029880880178013984,0.16080175153840026
2026-01-19,-0.10278733535637925,-0.19310171702469262,0.026190673948404044
2026-01-20,-0.03769510488943522,-0.02104788114794117,0.15156211528125452
2026-01-21,-0.12493113286593567,-0.08518118138954328,0.11725880734108073
2026-01-22,-0.030774259299699833,0.13396029120691386,0.12327561123728886
2026-01-23,0.0034732345959815393,0.11958063072632577,0.12337179410586772
2026-01-26,0.33189433076280256,0.07837958787597446,0.2311429415009129
2026-01-27,0.06118967150278561,-0.00029197525597784546,0.049552372014525774
2026-01-28,-0.07421080952933252,-0.07097355199338151,-0.02374204230383581
2026-01-29,-0.13943224587319722,-0.21848167784854697,-0.07591554124617439
2026-01-30,-0.14408776675098056,-0.2238273112990203,0.009314305773417743
2026-02-02,0.10039557931696372,-0.24671003295376617,-0.018240404815015817
2026-02-03,-0.029600696840257627,-0.33467030403686904,-0.11828509075331577
2026-02-04,-0.10803033605214567,-0.3675837408527554,-0.024692648240490438
2026-02-05,0.020449577942530005,-0.1866566036326189,-0.02639181335766117
2026-02-06,-0.08775696487749206,-0.18251359242973647,-0.13466515205605628
2026-02-09,-0.12954827310384714,-0.1460757146129694,-0.19881404686192594
2026-02-10,-0.3492067244641068,0.014515251476875952,-0.1540144577756943
2026-02-11,0.09527303159145119,0.044453280663902646,0.001508108067757602
2026-02-12,0.0746988194892465,0.0692686049806544,-0.10696614107212322
2026-02-13,-0.022333931921628275,0.03318217225261003,-0.10503442661398404
2026-02-19,0.010009059569241897,-0.0822562713690425,-0.021473982348555343
2026-02-20,-0.017142927738671866,0.06296129824021304,0.2347022652221803
2026-02-23,0.222235694595303,-0.04759185121150203,0.1430563315177598
2026-02-24,0.09623810755711197,-0.17478845873252605,0.043453385756612055
2026-02-25,-0.14325026317143952,-0.2598969060396117,-0.076127282713965
2026-02-26,0.0882499328400168,-0.10127211575762068,-0.018625353256652575
2026-02-27,-0.15354925522619686,-0.1369633441131562,-0.05442252083966471
2026-03-03,-0.38662536742429654,0.13402533647700987,-0.07869047905754734
2026-03-04,0.3511665650462928,0.2745614224164185,0.12170910511288434
2026-03-05,-0.061484575992505126,-0.3274053671600898,-0.20597332957489217
2026-03-06,-0.6614950926316517,-0.44389802268702944,-0.13055824196677338
2026-03-09,0.1091089451179962,0.1091089451179962,0.08183170883849715
2026-03-10,-0.05009114275431509,-0.20935528894752203,-0.2568776551503338
2026-03-11,-0.010959747357719868,-0.3500269312371783,-0.24042945765997964
2026-03-12,-0.1025475521097465,-0.36522770838228436,-0.1779960325909064
2026-03-13,-0.23340989179373572,-0.2921821667058275,-0.09403563985934678
2026-03-16,0.0019066717120012529,-0.17160045408011274,0.12164565522567995
2026-03-17,0.07150926012399718,-0.0971893811630017,-0.06834862984227355
2026-03-18,-0.3648822141931091,-0.05904613992441514,-0.08426973367853423
2026-03-19,0.2633909380558815,0.19381597328640332,-0.06724544585978577
2026-03-20,-0.02382298004915906,0.07536977898593598,-0.16773607005372812
2026-03-23,0.11692219113323787,-0.13560206782316345,-0.10474567892054563
2026-03-24,0.09163522978687665,-0.050127982845085836,0.12037101613119337
2026-03-25,0.11462697211418857,-0.29786962298517844,0.19207039901513975
2026-03-26,0.011086784412004178,-0.25254239644218496,0.17776102769737662
2026-03-27,0.1892490869945528,-0.11644801345791272,0.162959810439655
2026-03-30,-0.13681362720902968,-0.0028643247075782075,0.023757046104031017
2026-03-31,-0.15183572607995985,0.1073428801180044,0.08011823660981487
2026-04-01,-0.11243874050345612,0.20689741214262083,0.12307483757810736
2026-04-02,0.14102865003269363,0.37087822869174725,-0.009492312982969767
2026-04-03,0.26926558239158577,0.3006307073720476,0.5169381675543745
2026-04-06,0.10785267406877191,0.00393320692381318,0.4223022170830993
2026-04-07,0.12830179159255636,0.13739560116614283,0.37423003310432856
2026-04-08,-0.2046437903076856,0.1431131590712152,0.29097561458024257
2026-04-09,0.2015101721911206,0.1385694949589685,0.2706386617827395
2026-04-10,-0.005178930248778585,0.13688915001975693,0.15976154898270498
2026-04-13,-0.012820951171605775,0.03031946989039025,0.10793731280978928
2026-04-14,-0.11842494148578238,0.048168730808291906,0.0705528291551198
2026-04-15,0.08371578821929526,0.08097131469733893,0.09010719938796859
2026-04-16,0.15611011502372185,0.11161454705311942,0.09605934908480417
2026-04-17,0.016660171260795203,-0.13255925740013522,-0.03927777218295835
2026-04-20,0.0349330550708046,-0.15753000954774043,-0.11619758016439619
2026-04-21,-0.08028624345307614,0.005605693819025982,0.08657682676051238
2026-04-22,0.25280870894618446,0.016486410326183858,0.022354454679571336
